========================================================================================================================
RUNNING ATTENTION STRATEGIES ON ALL PDGs
========================================================================================================================

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Processing chain_5v_4e (fixed structure; 50 CPD replicates)
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  [chain_5v_4e] rep 1/50 uniform... /network/scratch/s/samieima/projects/lir/src/run_strategies_on_pdgs.py:399: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  initial_inconsistency = float(torch_score(pdg_copy, mu_state, LIR_GAMMA))
✓ Res 100.0%
  [chain_5v_4e] rep 1/50 partial... ✓ Res 99.9%
  [chain_5v_4e] rep 1/50 hub... ✓ Res 100.0%
  [chain_5v_4e] rep 2/50 uniform... ✓ Res 100.0%
  [chain_5v_4e] rep 2/50 partial... ✓ Res 30.1%
  [chain_5v_4e] rep 2/50 hub... ✓ Res 100.0%
  [chain_5v_4e] rep 3/50 uniform... ✓ Res 100.0%
  [chain_5v_4e] rep 3/50 partial... ✓ Res 70.2%
  [chain_5v_4e] rep 3/50 hub... ✓ Res 100.0%
  [chain_5v_4e] rep 4/50 uniform... ✓ Res 95.6%
  [chain_5v_4e] rep 4/50 partial... ✓ Res 74.9%
  [chain_5v_4e] rep 4/50 hub... ✓ Res 95.6%
  [chain_5v_4e] rep 5/50 uniform... ✓ Res 100.0%
  [chain_5v_4e] rep 5/50 partial... ✓ Res 81.7%
  [chain_5v_4e] rep 5/50 hub... ✓ Res 100.0%
  [chain_5v_4e] rep 6/50 uniform... ✓ Res 100.0%
  [chain_5v_4e] rep 6/50 partial... ✓ Res 75.3%
  [chain_5v_4e] rep 6/50 hub... ✓ Res 100.0%
  [chain_5v_4e] rep 7/50 uniform... ✓ Res 100.0%
  [chain_5v_4e] rep 7/50 partial... ✓ Res 80.2%
  [chain_5v_4e] rep 7/50 hub... ✓ Res 100.0%
  [chain_5v_4e] rep 8/50 uniform... ✓ Res 100.0%
  [chain_5v_4e] rep 8/50 partial... ✓ Res 83.8%
  [chain_5v_4e] rep 8/50 hub... ✓ Res 100.0%
  [chain_5v_4e] rep 9/50 uniform... ✓ Res 99.0%
  [chain_5v_4e] rep 9/50 partial... ✓ Res 65.3%
  [chain_5v_4e] rep 9/50 hub... ✓ Res 99.0%
  [chain_5v_4e] rep 10/50 uniform... ✓ Res 99.9%
  [chain_5v_4e] rep 10/50 partial... ✓ Res 19.2%
  [chain_5v_4e] rep 10/50 hub... ✓ Res 100.0%
  [chain_5v_4e] rep 11/50 uniform... ✓ Res 100.0%
  [chain_5v_4e] rep 11/50 partial... ✓ Res 59.8%
  [chain_5v_4e] rep 11/50 hub... ✓ Res 100.0%
  [chain_5v_4e] rep 12/50 uniform... ✓ Res 99.8%
  [chain_5v_4e] rep 12/50 partial... ✓ Res 97.9%
